Matric Number,Gender,Current academic level,Preferred living environment,Organize personal space frequency,Productive environment,Atmosphere created,Invite friends frequency,Comfortable with roommate bringing guests,Sleep lights preference,Fan speed preference,Preferred study time,Okay with roommate studying late night
2501827,Male,100,Comfortable with a bit of clutter,Occasionally,Lively with some quiet moments,Energetic,Very often,No,Always ON,Very high,Evening,No
21AB028409,Female,500,Generally tidy,Never,Quiet with occasional activity,Very calm,Occasionally,Sometimes,Must be OFF,High,Evening,Yes
24CF032506,Female,200,Generally tidy,Occasionally,Balanced,Very calm,Occasionally,Sometimes,Always ON,High,Morning,It depends
21CM031657,Female,500,Flexible/ not particular,A few times a week,Balanced,Energetic,Rarely,Sometimes,Prefer OFF,Medium,Morning,Yes
24AA029679,Male,200,Flexible/ not particular,Never,Quiet with occasional activity,Calm,Very often,Sometimes,Always ON,High,Late night,Yes
2501779,Female,100,Comfortable with a bit of clutter,Weekly,Balanced,Calm,Very often,Sometimes,Always ON,Medium,Late night,It depends
23CF036935,Female,300,Generally tidy,Daily,Lively with some quiet moments,Calm,Often,Yes,Prefer OFF,High,Evening,No
23AB037674,Female,300,Very organized,Daily,Balanced,Calm,Often,Sometimes,Prefer OFF,Medium,Late night,No
24AM028520,Female,200,Very organized,Weekly,Quiet with occasional activity,Very calm,Rarely,Yes,Always ON,Very high,Evening,It depends
2501409,Female,100,Very organized,Never,Quiet with occasional activity,Calm,Very often,Yes,Must be OFF,Very high,Late night,Yes
22AB031582,Male,400,Comfortable with a bit of clutter,Never,Balanced,Very calm,Rarely,Sometimes,Always ON,Low,Late night,Yes
23CM036279,Male,300,Generally tidy,Daily,Lively with some quiet moments,Calm,Rarely,No,Must be OFF,Low,Late night,No
22CB028434,Male,400,Comfortable with a bit of clutter,Weekly,Balanced,Very calm,Rarely,Sometimes,Prefer OFF,Very high,Late night,Yes
22CD032151,Female,400,Very organized,Occasionally,Balanced,Energetic,Often,No,Prefer OFF,Low,Evening,No
22CA031257,Male,400,Very organized,A few times a week,Quiet with occasional activity,Very calm,Occasionally,No,Must be OFF,Low,Evening,No
24CF038647,Female,200,Flexible/ not particular,Occasionally,Quiet with occasional activity,Calm,Very often,Yes,Sometimes ON,Very high,Morning,No
2502227,Female,100,Very organized,Occasionally,Quiet with occasional activity,Energetic,Often,No,Prefer OFF,Medium,Late night,No
24AM031611,Male,200,Flexible/ not particular,Weekly,Balanced,Very calm,Occasionally,Sometimes,Prefer OFF,Medium,Afternoon,It depends
22CG031883,Female,400,Comfortable with a bit of clutter,Occasionally,Lively with some quiet moments,Very calm,Rarely,Sometimes,Must be OFF,Medium,Late night,No
21BD037654,Male,500,Comfortable with a bit of clutter,Weekly,Balanced,Very calm,Rarely,Sometimes,Always ON,Medium,Morning,No
23CD028106,Female,300,Very organized,A few times a week,Balanced,Energetic,Never,No,Sometimes ON,Medium,Late night,No
24DA030615,Female,200,Flexible/ not particular,Daily,Lively with some quiet moments,Very calm,Often,Sometimes,Sometimes ON,High,Late night,Yes
23CF034924,Male,300,Very organized,A few times a week,Balanced,Energetic,Often,Yes,Must be OFF,Medium,Afternoon,It depends
22CG031853,Female,400,Generally tidy,Weekly,Lively with some quiet moments,Calm,Rarely,Yes,Sometimes ON,Medium,Morning,Yes
22BM032552,Male,400,Comfortable with a bit of clutter,Never,Balanced,Very calm,Very often,Sometimes,Prefer OFF,Very high,Evening,No
21AA031527,Male,500,Very organized,A few times a week,Lively with some quiet moments,Calm,Very often,Sometimes,Prefer OFF,Very high,Late night,No
22DA033514,Male,400,Very organized,Daily,Lively with some quiet moments,Very calm,Occasionally,No,Sometimes ON,Medium,Late night,It depends
22AB029519,Male,400,Comfortable with a bit of clutter,Occasionally,Balanced,Energetic,Often,Yes,Sometimes ON,Low,Morning,It depends
23AM029584,Female,300,Flexible/ not particular,Never,Lively with some quiet moments,Energetic,Occasionally,No,Sometimes ON,Medium,Afternoon,It depends
24BM033635,Female,200,Flexible/ not particular,Never,Lively with some quiet moments,Very calm,Rarely,Yes,Always ON,High,Late night,It depends
24CB032333,Male,200,Comfortable with a bit of clutter,Never,Lively with some quiet moments,Energetic,Occasionally,No,Sometimes ON,Low,Late night,Yes
24DA028711,Male,200,Flexible/ not particular,Never,Balanced,Calm,Often,No,Prefer OFF,High,Late night,Yes
24CF035527,Male,200,Comfortable with a bit of clutter,Occasionally,Quiet with occasional activity,Very calm,Often,No,Sometimes ON,Low,Afternoon,No
23CA030045,Male,300,Very organized,Daily,Lively with some quiet moments,Very calm,Rarely,No,Always ON,Low,Afternoon,No
2501366,Female,100,Generally tidy,Occasionally,Balanced,Calm,Never,Yes,Must be OFF,Low,Afternoon,No
23AB037044,Female,300,Very organized,Weekly,Quiet with occasional activity,Very calm,Often,Yes,Sometimes ON,High,Afternoon,It depends
21CD038299,Male,500,Very organized,Weekly,Quiet with occasional activity,Very calm,Occasionally,Yes,Always ON,Very high,Afternoon,Yes
23CB033925,Male,300,Comfortable with a bit of clutter,A few times a week,Balanced,Very calm,Rarely,Sometimes,Sometimes ON,Low,Morning,It depends
22CB031150,Male,400,Very organized,Never,Quiet with occasional activity,Very calm,Occasionally,Sometimes,Sometimes ON,Very high,Afternoon,No
24CF029139,Female,200,Very organized,Never,Balanced,Very calm,Never,Sometimes,Prefer OFF,Low,Evening,No
21CG038834,Female,500,Very organized,A few times a week,Lively with some quiet moments,Calm,Never,Yes,Always ON,High,Evening,No
22CE032242,Female,400,Flexible/ not particular,Never,Lively with some quiet moments,Very calm,Often,No,Sometimes ON,Very high,Afternoon,It depends
21CM032741,Female,500,Flexible/ not particular,Never,Lively with some quiet moments,Calm,Occasionally,No,Prefer OFF,High,Late night,Yes
23AB031814,Female,300,Generally tidy,A few times a week,Lively with some quiet moments,Energetic,Rarely,No,Prefer OFF,High,Morning,No
2501471,Male,100,Generally tidy,Occasionally,Quiet with occasional activity,Calm,Occasionally,Sometimes,Must be OFF,High,Late night,It depends
24AM032554,Male,200,Flexible/ not particular,Occasionally,Lively with some quiet moments,Energetic,Never,No,Must be OFF,High,Late night,It depends
21BD038415,Female,500,Flexible/ not particular,Never,Lively with some quiet moments,Calm,Never,Sometimes,Always ON,Low,Evening,It depends
22DB033977,Male,400,Very organized,A few times a week,Balanced,Calm,Very often,No,Prefer OFF,Very high,Evening,No
23AA034065,Male,300,Very organized,Daily,Quiet with occasional activity,Very calm,Never,No,Prefer OFF,Low,Afternoon,No
2501508,Female,100,Very organized,Occasionally,Lively with some quiet moments,Energetic,Rarely,Yes,Sometimes ON,High,Afternoon,Yes
22CM038980,Male,400,Very organized,Never,Balanced,Calm,Never,No,Sometimes ON,Low,Late night,Yes
24CD039498,Female,200,Very organized,A few times a week,Lively with some quiet moments,Calm,Never,Yes,Must be OFF,High,Morning,Yes
21DC039199,Male,500,Flexible/ not particular,A few times a week,Quiet with occasional activity,Energetic,Very often,Yes,Must be OFF,Low,Evening,Yes
2501272,Female,100,Comfortable with a bit of clutter,Weekly,Quiet with occasional activity,Energetic,Rarely,No,Must be OFF,Very high,Evening,Yes
23AB037980,Male,300,Generally tidy,Weekly,Balanced,Energetic,Never,Yes,Must be OFF,Medium,Morning,It depends
23CE030803,Female,300,Flexible/ not particular,A few times a week,Balanced,Very calm,Rarely,Sometimes,Sometimes ON,Very high,Late night,Yes
